Код товара;Артикул;Бренд;Коллекция;Установка;Ширина;Высота;Глубина;Материал;Форма;Цвет;Миксер;Стандарт подводки;Режим струи;Диаметр лейки;Термостат;размер верхнего душа;Вес;Режим верхнего душа
210460;6433005-00;Kludi;A-Qa;На стену / на потолок;300;empty;300;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;300;3;empty
210458;6757505-00;Kludi;Fizz;На стену / на потолок;340;80;90;Латунь;Нестандартная;Хром;empty;01.фев;empty;empty;Нет;340;3;empty
186890;6653105-00;Kludi;A-Qa;На стену / на потолок;250;55;250;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;250;01.фев;empty
210457;6651105-00;Kludi;A-Qa;На стену / на потолок;245;80;245;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;245;янв.23;empty
210456;6432005-00;Kludi;A-Qa;На стену / на потолок;200;56;200;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;200;3;empty
210847;6442505-00;Kludi;A-Qa;На стену / на потолок;250;empty;250;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;250;3;empty
210461;6443005-00;Kludi;A-Qa;На стену / на потолок;300;empty;300;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;300;3;empty
211121;B9845AA;Ideal Standard;Idealrain;На потолок;400;57;400;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;400;мар.56;empty
211120;B0391MY;Ideal Standard;Idealrain;На потолок;400;53;250;Латунь;Прямоугольная;Хром;empty;01.фев;empty;empty;Нет;400;янв.64;empty
212432;27623000;Hansgrohe;Raindance;На стену / на потолок;240;59;240;Металл;Круглая;Хром;empty;01.фев;empty;empty;Нет;240;1.628;empty
212434;27620000;Hansgrohe;Raindance;На потолок;240;166;240;Металл;Круглая;Хром;empty;01.фев;empty;empty;Нет;240;1.959;empty
212433;27607000;Hansgrohe;Raindance;На стену;240;104;513;Металл;Круглая;Хром;empty;01.фев;empty;empty;Нет;240;2.942;empty
214211;E21755-CP;Jacob Delafon;Brive;На потолок;200;58;200;Пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;200;empty;empty
214212;E21757-CP;Jacob Delafon;Strayt;На потолок;250;46;250;Металл;Квадратная;Хром;empty;01.фев;empty;empty;Нет;250;empty;empty
214216;E20643-CP;Jacob Delafon;Oblo/Talan Design;На потолок;400;53;250;Металл;Прямоугольная;Хром;empty;01.фев;empty;empty;Нет;400;02.июл;empty
214214;E21760-CP;Jacob Delafon;July;На потолок;200;53;200;Пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;200;empty;empty
214215;E21761-CP;Jacob Delafon;July;На потолок;200;55;200;Пластик;Квадратная;Хром;empty;01.фев;empty;empty;Нет;200;empty;empty
206109;E13695-CP;Jacob Delafon;Katalyst;На стену / на потолок;200;65;200;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;200;empty;empty
220022;TESORO-F-TD2P-01;Cezares;Tesoro;На стену;255;empty;555;Нержавеющая сталь;Прямоугольная;Хром;empty;01.фев;empty;empty;Нет;210;2;empty
223312;CZR-SP5-22-BLC;Cezares;Margot;На душевую стойку;217;60;217;Нержавеющая сталь;Круглая;Белый/хром;empty;01.фев;empty;empty;Нет;217;3;empty
223314;CZR-SP7-30-BLC;Cezares;Margot;На душевую стойку;300;80;300;Нержавеющая сталь;Круглая;Белый/хром;empty;01.фев;empty;empty;Нет;300;3;empty
223346;CZR-SP8-20-BLC;Cezares;Margot;На душевую стойку;200;60;200;Нержавеющая сталь;Круглая;Белый/хром;empty;01.фев;empty;empty;Нет;200;3;empty
226075;CZR-H-SP20-02;Cezares;Articoli Vari;На стену / на потолок;208;empty;208;Нержавеющая сталь;Круглая;Бронза;empty;01.фев;empty;empty;Нет;208;3;empty
